id,first_name,last_name,weight
1,Tanny,Bransgrove,1
2,Delila,Spriggs,1
3,Sigmund,Saw,1
4,Wilt,Maycey,1
5,Carilyn,Semper,1
6,Rowland,Heaysman,1
7,Nev,Driver,1
8,Calypso,Nursey,1
9,Willow,Tollemache,1
10,Nert,Hartell,1
11,Paule,Hallard,1
12,Mario,Carpenter,1
13,Lindi,Cuddihy,1
14,Aidan,Onele,1
15,Gareth,Kirsz,1
16,Lucia,Foxworthy,1
17,Fayre,Calvard,1
18,Chrissy,Seven,1
19,Ricky,Loynton,1
20,Wilmar,Joderli,1
21,Clare,Kremer,1
22,Aloysia,Eles,1
23,Dianemarie,Bussen,1
24,Milka,Millsom,1
25,Julee,Ellinor,1
26,Ilka,Raine,1
27,Andras,Dudmesh,1
28,Skip,Kibbe,1
29,Valina,Capel,1
30,Veradis,Caseley,1
